OrderID,OrderDate,ShipDate,ShipMode,CustomerID,ProductID,OrderCostPrice,OrderSellingPrice
23,2021/12/09,2021/12/13,Standard Class,KB-16585,OFF-AP-10001492,30,60
24,2022/07/16,2022/07/18,Second Class,SF-20065,FUR-CH-10002774,43,71
25,2020/09/25,2020/09/30,Standard Class,EB-13870,FUR-TA-10000577,627,1045
26,2021/01/16,2021/01/20,Second Class,EH-13945,OFF-BI-10001634,7,12
27,2021/01/16,2021/01/20,Second Class,EH-13945,TEC-AC-10003027,82,91
28,2020/09/17,2020/09/21,Standard Class,TB-21520,FUR-BO-10004834,2158,3083
29,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-BI-10000474,5,10
30,2020/09/17,2020/09/21,Standard Class,TB-21520,FUR-FU-10004848,87,124
31,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-EN-10001509,3,3
32,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-AR-10004042,52,86
33,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-BI-10001525,5,7
34,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-AR-10001683,8,16
35,2022/10/19,2022/10/23,Second Class,MA-17560,OFF-PA-10000249,18,29
36,2021/12/08,2021/12/10,First Class,GH-14485,TEC-PH-10004977,659,1098
37,2021/12/08,2021/12/10,First Class,GH-14485,FUR-FU-10003664,134,191
38,2020/12/27,2020/12/31,Standard Class,SN-20710,OFF-EN-10002986,57,113
39,2020/12/27,2020/12/31,Standard Class,SN-20710,FUR-BO-10002545,373,532
40,2020/12/27,2020/12/31,Standard Class,SN-20710,FUR-CH-10004218,191,212
41,2020/12/27,2020/12/31,Standard Class,SN-20710,TEC-PH-10000486,223,371
42,2022/09/10,2022/09/15,Standard Class,LC-16930,TEC-PH-10004093,103,147
43,2021/07/17,2021/07/22,Standard Class,RA-19885,OFF-ST-10003479,39,78
44,2022/09/19,2022/09/23,Standard Class,ES-14080,OFF-ST-10003282,76,96
45,2021/03/11,2021/03/13,First Class,ON-18715,TEC-AC-10000171,37,46
46,2021/03/11,2021/03/13,First Class,ON-18715,OFF-BI-10003291,10,17
47,2019/10/20,2019/10/25,Second Class,PO-18865,OFF-ST-10001713,191,212
48,2021/06/20,2021/06/25,Standard Class,LH-16900,TEC-AC-10002167,32,45
49,2021/06/20,2021/06/25,Standard Class,LH-16900,TEC-PH-10003988,20,22
50,2020/04/18,2020/04/22,Standard Class,DP-13000,OFF-BI-10004410,34,38
51,2020/04/18,2020/04/22,Standard Class,DP-13000,OFF-LA-10002762,60,75
52,2020/04/18,2020/04/22,Standard Class,DP-13000,FUR-FU-10001706,4,6
53,2020/04/18,2020/04/22,Standard Class,DP-13000,FUR-CH-10003061,54,90
54,2021/12/11,2021/12/17,Standard Class,JM-15265,OFF-FA-10000304,11,15
55,2021/12/11,2021/12/17,Standard Class,JM-15265,TEC-PH-10002447,824,1030
56,2021/06/17,2021/06/18,First Class,TB-21055,OFF-ST-10000604,167,209
57,2021/06/17,2021/06/18,First Class,TB-21055,OFF-PA-10001569,16,32
58,2021/06/17,2021/06/18,First Class,TB-21055,FUR-CH-10003968,160,319
59,2021/06/17,2021/06/18,First Class,TB-21055,OFF-PA-10000587,12,15
60,2021/06/17,2021/06/18,First Class,TB-21055,TEC-AC-10002167,18,30
61,2021/06/17,2021/06/18,First Class,TB-21055,OFF-BI-10001460,39,48
62,2021/06/17,2021/06/18,First Class,TB-21055,OFF-AR-10001868,1,2
63,2020/11/24,2020/11/30,Standard Class,KM-16720,TEC-AC-10004633,13,14
64,2020/11/24,2020/11/30,Standard Class,KM-16720,OFF-BI-10001078,13,26
65,2020/11/24,2020/11/30,Standard Class,KM-16720,OFF-PA-10003892,103,147
66,2020/11/24,2020/11/30,Standard Class,KM-16720,FUR-FU-10000397,64,80
67,2020/04/30,2020/05/05,Standard Class,PS-18970,FUR-CH-10001146,128,213
68,2019/12/05,2019/12/10,Standard Class,BS-11590,OFF-AR-10002671,779,1113
69,2019/12/05,2019/12/10,Standard Class,BS-11590,TEC-PH-10002726,101,168
70,2021/06/04,2021/06/06,First Class,KD-16270,OFF-PA-10000482,46,76
71,2021/09/18,2021/09/23,Standard Class,HM-14980,OFF-BI-10004654,4,5
72,2022/09/14,2022/09/17,Second Class,TB-21520,OFF-PA-10004675,15,19
73,2020/04/26,2020/05/02,Standard Class,JE-15745,FUR-CH-10000513,499,832
74,2020/04/26,2020/05/02,Standard Class,JE-15745,FUR-FU-10003708,78,97
75,2020/04/26,2020/05/02,Standard Class,JE-15745,OFF-ST-10004123,36,73
76,2022/12/09,2022/12/11,First Class,KB-16600,OFF-BI-10004182,1,1
77,2022/12/09,2022/12/11,First Class,KB-16600,FUR-FU-10000260,7,10
78,2022/12/09,2022/12/11,First Class,KB-16600,OFF-ST-10000615,19,27
79,2019/11/26,2019/12/01,Second Class,JE-15745,FUR-FU-10003194,12,19
80,2021/06/12,2021/06/15,First Class,SC-20770,OFF-AP-10002118,104,208
81,2021/06/12,2021/06/15,First Class,SC-20770,OFF-BI-10002309,12,17
82,2019/10/12,2019/10/16,Standard Class,DN-13690,OFF-AR-10002053,9,15
83,2019/10/12,2019/10/16,Standard Class,DN-13690,OFF-ST-10002370,13,21
84,2020/09/03,2020/09/08,Standard Class,JC-16105,OFF-EN-10000927,141,201
85,2022/11/13,2022/11/16,First Class,CS-12400,OFF-ST-10003656,207,230
86,2022/05/28,2022/05/30,Second Class,PO-18865,FUR-CH-10000863,181,302
87,2022/10/26,2022/11/02,Standard Class,PG-18895,TEC-AC-10001998,12,20
88,2022/10/26,2022/11/02,Standard Class,PG-18895,OFF-LA-10000134,3,6
89,2021/04/05,2021/04/10,Second Class,GM-14455,OFF-ST-10003442,95,158
90,2021/09/17,2021/09/22,Standard Class,JS-15685,OFF-AR-10004930,12,20
91,2021/09/17,2021/09/22,Standard Class,JS-15685,TEC-PH-10004093,37,74
92,2021/09/17,2021/09/22,Standard Class,JS-15685,OFF-PA-10000304,3,6
93,2020/01/31,2020/02/05,Second Class,KB-16315,OFF-PA-10003177,8,13
94,2020/01/31,2020/02/05,Second Class,KB-16315,FUR-FU-10003799,48,53
95,2020/01/31,2020/02/05,Second Class,KB-16315,OFF-BI-10002852,23,33
96,2022/11/06,2022/11/12,Standard Class,RB-19705,OFF-BI-10004738,4,6
97,2022/11/09,2022/11/11,Second Class,PN-18775,FUR-FU-10000629,48,97
98,2022/06/17,2022/06/20,First Class,,OFF-BI-10001721,46,51
99,2021/09/06,2021/09/11,Standard Class,ER-13855,OFF-AP-10000358,47,78
100,2021/08/29,2021/09/02,Standard Class,RB-19465,OFF-PA-10003256,32,65
101,2021/08/29,2021/09/02,Standard Class,RB-19465,TEC-AC-10001767,48,96
102,2021/08/29,2021/09/02,Standard Class,RB-19465,OFF-BI-10002609,2,2
103,2021/12/01,2021/12/04,Second Class,GZ-14470,OFF-PA-10004040,14,24
104,2020/11/13,2020/11/17,Standard Class,LC-16870,TEC-AC-10001552,191,239
105,2020/11/13,2020/11/17,Standard Class,LC-16870,FUR-FU-10004006,72,102
106,2020/11/13,2020/11/17,Standard Class,LC-16870,OFF-BI-10002794,18,37
107,2022/11/23,2022/11/28,Standard Class,JM-15250,TEC-AC-10003499,67,74
108,2022/11/23,2022/11/28,Standard Class,JM-15250,TEC-PH-10002844,14,28
109,2022/11/23,2022/11/28,Standard Class,JM-15250,OFF-AR-10000390,2,3
110,2020/10/15,2020/10/20,Standard Class,PA-19060,TEC-AC-10000844,272,340
111,2022/12/25,2022/12/30,Standard Class,CV-12805,FUR-FU-10001934,21,42
112,2021/11/03,2021/11/10,Standard Class,CL-12565,OFF-AR-10000380,61,76
113,2021/11/03,2021/11/10,Standard Class,CL-12565,OFF-BI-10003981,16,27
114,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-FA-10000621,32,40
115,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-EN-10002600,3,5
116,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-PA-10004965,17,24
117,2019/08/25,2019/08/27,Second Class,RC-19960,OFF-EN-10002504,117,130
118,2020/03/02,2020/03/06,Standard Class,DK-13090,FUR-TA-10001768,551,788
119,2020/04/05,2020/04/10,Standard Class,GG-14650,OFF-BI-10003650,142,158
120,2021/06/12,2021/06/15,First Class,SC-20725,FUR-FU-10002157,42,47
121,2021/06/12,2021/06/15,First Class,SC-20725,OFF-BI-10003910,25,31
122,2021/06/12,2021/06/15,First Class,SC-20725,OFF-ST-10000777,136,227
123,2021/06/12,2021/06/15,First Class,SC-20725,OFF-EN-10002500,69,115
124,2021/06/12,2021/06/15,First Class,SC-20725,TEC-PH-10003875,34,68
125,2019/12/26,2019/12/28,Second Class,AD-10180,FUR-CH-10004063,360,601
126,2019/09/20,2019/09/25,Standard Class,PF-19165,FUR-TA-10004534,371,618
127,2022/11/05,2022/11/12,Standard Class,TS-21610,OFF-BI-10003274,2,2
128,2022/11/05,2022/11/12,Standard Class,TS-21610,OFF-ST-10002974,195,244
129,2021/11/06,2021/11/10,Second Class,LS-16975,FUR-CH-10001146,49,81
130,2021/11/06,2021/11/10,Second Class,LS-16975,FUR-FU-10003773,143,239
131,2022/02/02,2022/02/05,First Class,DW-13585,TEC-PH-10002293,30,60
132,2022/02/02,2022/02/05,First Class,DW-13585,OFF-PA-10002377,55,78
133,2022/02/02,2022/02/05,First Class,DW-13585,OFF-FA-10002780,13,21
134,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-PA-10001804,16,20
135,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-PA-10001736,32,35
136,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-AR-10001149,9,12
137,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-FA-10002988,4,4
138,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-BI-10004781,38,76
139,2021/10/13,2021/10/19,Standard Class,LC-16885,OFF-SU-10001218,46,66
140,2021/10/13,2021/10/19,Standard Class,LC-16885,FUR-FU-10001706,26,43
141,2021/09/05,2021/09/07,Second Class,JD-15895,FUR-FU-10004848,41,83
142,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-AR-10000940,4,9
143,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-EN-10004030,5,11
144,2022/09/18,2022/09/23,Standard Class,SH-19975,OFF-PA-10004327,101,144
145,2022/12/22,2022/12/27,Standard Class,SG-20080,OFF-AP-10001058,755,839
146,2020/09/07,2020/09/12,Standard Class,HA-14920,OFF-ST-10003656,605,672
147,2019/10/22,2019/10/28,Standard Class,MG-17680,FUR-FU-10000521,66,94
148,2021/12/05,2021/12/09,Standard Class,JE-16165,TEC-PH-10000215,346,384
149,2021/12/05,2021/12/09,Standard Class,JE-16165,TEC-PH-10001448,75,150
150,2021/12/05,2021/12/09,Standard Class,JE-16165,FUR-CH-10000454,1366,1952
151,2021/12/05,2021/12/09,Standard Class,JE-16165,OFF-BI-10002735,137,172
152,2021/03/13,2021/03/16,First Class,TW-21025,OFF-AP-10000326,95,158
153,2021/03/13,2021/03/16,First Class,TW-21025,TEC-PH-10001254,163,203
154,2020/05/31,2020/06/02,First Class,SP-20650,OFF-PA-10001950,47,58
155,2020/05/31,2020/06/02,First Class,SP-20650,OFF-PA-10002254,84,106
156,2020/05/31,2020/06/02,First Class,SP-20650,OFF-ST-10001590,57,81
157,2020/05/28,2020/06/03,Standard Class,NK-18490,OFF-AR-10001547,5,7
158,2019/03/01,2019/03/06,Second Class,DB-13060,FUR-CH-10004063,412,458
159,2021/11/20,2021/11/24,Standard Class,NP-18670,OFF-LA-10002475,10,15
160,2021/11/20,2021/11/24,Standard Class,NP-18670,TEC-PH-10004536,472,945
161,2021/05/11,2021/05/12,First Class,TT-21070,OFF-PA-10002751,3,6
162,2020/12/28,2020/12/31,Second Class,EM-13960,TEC-AC-10003657,33,54
163,2021/11/16,2021/11/20,Standard Class,RD-19900,OFF-EN-10001990,17,28
164,2021/11/07,2021/11/11,Standard Class,MJ-17740,OFF-BI-10004002,22,28
165,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AR-10004441,7,10
166,2019/09/08,2019/09/12,Standard Class,BM-11140,TEC-MA-10000822,4896,8160
167,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-ST-10000991,193,276
168,2019/09/08,2019/09/12,Standard Class,BM-11140,FUR-CH-10004287,1044,1740
169,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AR-10002656,19,32
170,2019/09/08,2019/09/12,Standard Class,BM-11140,OFF-AP-10002518,142,178
171,2019/09/08,2019/09/12,Standard Class,BM-11140,TEC-PH-10003931,86,144
172,2019/08/05,2019/08/09,Standard Class,CS-12130,OFF-PA-10000659,15,21
173,2019/08/05,2019/08/09,Standard Class,CS-12130,OFF-PA-10001144,55,111
174,2019/08/05,2019/08/09,Standard Class,CS-12130,FUR-CH-10003817,272,340
175,2019/09/14,2019/09/19,Standard Class,JB-15400,OFF-AP-10000891,37,52
176,2019/09/14,2019/09/19,Standard Class,JB-15400,OFF-LA-10003148,12,20
177,2022/04/21,2022/04/25,Second Class,SJ-20500,OFF-AP-10002684,88,97
178,2020/11/21,2020/11/23,Second Class,JE-15745,FUR-CH-10004698,238,397
179,2020/11/21,2020/11/23,Second Class,JE-15745,OFF-SU-10002189,8,16
180,2020/12/15,2020/12/19,Standard Class,JK-15640,OFF-AR-10001940,3,3
181,2019/12/05,2019/12/09,Second Class,DK-13150,OFF-ST-10003455,17,25
182,2019/12/05,2019/12/09,Second Class,DK-13150,TEC-AC-10004659,0,
183,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-PH-10003273,302,504
184,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-PH-10004896,120,150
185,2019/11/19,2019/11/24,Second Class,RM-19675,TEC-AC-10002345,17,29
186,2021/11/28,2021/12/02,Standard Class,SK-19990,OFF-BI-10001890,4,7
187,2019/08/26,2019/08/30,Standard Class,FM-14290,TEC-AC-10002323,88,177
188,2021/07/16,2021/07/22,Standard Class,AM-10360,OFF-ST-10001328,26,37
189,2021/07/16,2021/07/22,Standard Class,AM-10360,OFF-PA-10001950,12,20
190,2020/10/12,2020/10/14,First Class,MP-17470,FUR-BO-10002613,450,899
191,2020/10/12,2020/10/14,First Class,MP-17470,TEC-PH-10001552,65,72
192,2020/10/12,2020/10/14,First Class,MP-17470,OFF-PA-10000061,31,52
193,2020/10/12,2020/10/14,First Class,MP-17470,FUR-BO-10002545,313,626
194,2020/10/12,2020/10/14,First Class,MP-17470,OFF-AR-10003514,16,20
195,2020/10/31,2020/11/06,Standard Class,MZ-17515,OFF-EN-10001509,13,14
196,2019/03/21,2019/03/25,Standard Class,CB-12025,OFF-AR-10004685,6,7
197,2019/03/21,2019/03/25,Standard Class,CB-12025,OFF-AR-10004027,5,6
198,2022/11/06,2022/11/13,Standard Class,VM-21685,OFF-ST-10001414,23,46
199,2022/07/06,2022/07/13,Standard Class,FH-14365,OFF-BI-10000343,2,3
200,2022/07/06,2022/07/13,Standard Class,FH-14365,OFF-PA-10002749,10,16
201,2022/06/24,2022/06/29,Standard Class,MB-17305,OFF-PA-10002666,17,22
202,2019/08/03,2019/08/05,First Class,BS-11755,FUR-TA-10004289,197,219
203,2019/08/03,2019/08/05,First Class,BS-11755,OFF-AP-10003622,2,3
204,2022/12/17,2022/12/21,Second Class,LC-17140,OFF-AP-10003217,40,66
205,2022/06/03,2022/06/07,Standard Class,HK-14890,FUR-FU-10002960,18,35
206,2022/12/09,2022/12/14,Standard Class,LE-16810,TEC-PH-10001918,356,445
207,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-ST-10000642,67,84
208,2022/12/01,2022/12/07,Standard Class,JH-15985,TEC-PH-10001700,79,132
209,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-BI-10003274,10,16
210,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-FA-10000134,37,52
211,2022/12/01,2022/12/07,Standard Class,JH-15985,OFF-ST-10001522,64,92
212,2020/02/09,2020/02/13,Second Class,MS-17980,TEC-AC-10001266,17,21
213,2020/01/02,2020/01/09,Standard Class,VW-21775,OFF-LA-10004544,21,24
214,2020/01/02,2020/01/09,Standard Class,VW-21775,FUR-BO-10004695,407,452
215,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-PH-10002844,44,63
216,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-MA-10000864,832,1188
217,2020/01/02,2020/01/09,Standard Class,VW-21775,TEC-AC-10000109,54,90
218,2021/10/28,2021/11/01,Standard Class,JH-15910,OFF-ST-10001328,84,93
219,2021/10/28,2021/11/01,Standard Class,JH-15910,TEC-PH-10002563,181,302
220,2020/12/24,2020/12/27,First Class,JB-15925,OFF-FA-10000585,4,6
221,2020/12/24,2020/12/27,First Class,JB-15925,OFF-PA-10004000,11,23
222,2020/12/24,2020/12/27,First Class,JB-15925,OFF-BI-10002852,18,20
223,2020/12/24,2020/12/27,First Class,JB-15925,FUR-FU-10000087,58,73
224,2020/12/24,2020/12/27,First Class,JB-15925,TEC-MA-10001148,288,480
225,2020/12/24,2020/12/27,First Class,JB-15925,OFF-AR-10001958,22,27
226,2020/08/09,2020/08/16,Standard Class,DS-13180,OFF-AR-10001026,2,2
227,2020/08/09,2020/08/16,Standard Class,DS-13180,FUR-TA-10003748,498,622
228,2020/08/09,2020/08/16,Standard Class,DS-13180,OFF-ST-10002485,15,22
229,2020/02/28,2020/03/04,Standard Class,VD-21670,FUR-CH-10004860,129,162
230,2020/02/28,2020/03/04,Standard Class,VD-21670,FUR-CH-10004477,351,390
231,2019/09/13,2019/09/17,Standard Class,EA-14035,OFF-BI-10001679,17,19
232,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-TA-10001705,210,234
233,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-TA-10003473,310,621
234,2022/04/07,2022/04/12,Standard Class,CS-12400,OFF-BI-10001679,5,5
235,2022/04/07,2022/04/12,Standard Class,CS-12400,FUR-FU-10004017,232,258
236,2022/04/07,2022/04/12,Standard Class,CS-12400,TEC-AC-10003832,309,618
237,2022/11/12,2022/11/16,Standard Class,DB-13120,OFF-PA-10002479,5,11
238,2021/06/04,2021/06/09,Second Class,KL-16645,OFF-PA-10003349,18,26
239,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10000576,252,420
240,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10004351,6,12
241,2021/06/04,2021/06/09,Second Class,KL-16645,TEC-PH-10000011,19,32
242,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-TA-10002607,160,177
243,2021/06/04,2021/06/09,Second Class,KL-16645,FUR-FU-10002505,3,4
244,2021/06/04,2021/06/09,Second Class,KL-16645,OFF-AR-10004685,6,7
245,2019/06/01,2019/06/06,Second Class,DW-13480,FUR-CH-10004063,1601,2002
246,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-ST-10002276,100,167
247,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-PA-10004082,43,48
248,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-AP-10002945,1052,1503
249,2019/06/01,2019/06/06,Second Class,DW-13480,OFF-PA-10000061,21,26
250,2021/12/10,2021/12/15,Second Class,LH-17155,FUR-CH-10002965,193,322
251,2021/09/11,2021/09/17,Standard Class,KC-16540,OFF-PA-10004569,5,8
252,2021/09/11,2021/09/17,Standard Class,KC-16540,TEC-AC-10003832,2343,3347
253,2021/12/10,2021/12/13,First Class,DL-13315,OFF-ST-10001228,40,81
254,2021/12/10,2021/12/13,First Class,DL-13315,OFF-EN-10003296,217,362
255,2020/11/28,2020/12/04,Standard Class,DR-12880,FUR-FU-10002505,11,12
256,2020/11/28,2020/12/04,Standard Class,DR-12880,OFF-ST-10004804,41,82
257,2020/11/28,2020/12/04,Standard Class,DR-12880,OFF-ST-10001590,32,54
258,2020/11/28,2020/12/04,Standard Class,DR-12880,TEC-PH-10001580,389,648
259,2022/12/01,2022/12/03,Second Class,CC-12670,TEC-AC-10000290,16,20
260,2022/12/01,2022/12/03,Second Class,CC-12670,OFF-ST-10002790,177,222
261,2022/12/01,2022/12/03,Second Class,CC-12670,OFF-BI-10003460,12,18
262,2022/06/08,2022/06/12,Standard Class,Dl-13600,OFF-AP-10002203,1,2
263,2019/09/19,2019/09/21,Second Class,SB-20290,TEC-MA-10000822,1836,3060
264,2019/09/19,2019/09/21,Second Class,SB-20290,TEC-MA-10003353,1260,2520
265,2021/06/06,2021/06/13,Standard Class,RC-19825,TEC-PH-10001433,263,328
266,2020/11/10,2020/11/15,Standard Class,AH-10210,TEC-AC-10004469,56,80
267,2022/06/16,2022/06/20,Standard Class,CB-12535,OFF-AR-10003602,11,14
268,2021/01/22,2021/01/28,Standard Class,PG-18895,OFF-FA-10003472,5,8
269,2022/12/09,2022/12/13,Standard Class,CA-12310,OFF-ST-10004180,19,37
270,2022/12/09,2022/12/13,Standard Class,CA-12310,OFF-EN-10004386,29,58
271,2022/12/28,2023/01/02,Second Class,KH-16690,OFF-ST-10003208,363,726
272,2020/07/30,2020/07/31,First Class,HA-14920,TEC-AC-10003628,168,210
273,2020/07/30,2020/07/31,First Class,HA-14920,FUR-FU-10003274,4,5
274,2020/07/30,2020/07/31,First Class,HA-14920,OFF-BI-10002557,5,11
275,2022/09/16,2022/09/17,First Class,BB-10990,OFF-PA-10002615,4,9
276,2022/09/16,2022/09/17,First Class,BB-10990,OFF-AR-10001427,4,6
277,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-PA-10000673,8,12
278,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-PA-10004470,16,18
279,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-ST-10000876,42,60
280,2022/10/13,2022/10/17,Standard Class,AG-10495,OFF-LA-10002043,15,25
281,2020/09/26,2020/09/28,Second Class,SC-20725,OFF-BI-10004967,1,2
282,2020/09/26,2020/09/28,Second Class,SC-20725,TEC-PH-10001760,1003,1114
283,2020/11/02,2020/11/06,Standard Class,JO-15280,FUR-TA-10002903,935,1039
284,2020/09/26,2020/10/02,Standard Class,TB-21520,OFF-PA-10000474,99,142
285,2020/09/26,2020/10/02,Standard Class,TB-21520,TEC-AC-10001956,120,240
286,2020/09/26,2020/10/02,Standard Class,TB-21520,OFF-PA-10004100,16,31
287,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-BI-10000778,203,254
288,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-AP-10002684,156,195
289,2021/12/18,2021/12/20,Second Class,AH-10195,OFF-SU-10000646,769,961
290,2021/11/20,2021/11/24,Second Class,NZ-18565,OFF-FA-10002983,15,19
291,2021/11/20,2021/11/24,Second Class,NZ-18565,OFF-LA-10004689,17,19
292,2021/11/20,2021/11/24,Second Class,NZ-18565,TEC-AC-10002001,205,256
293,2021/11/20,2021/11/24,Second Class,NZ-18565,FUR-BO-10004709,78,87
294,2019/12/26,2019/12/28,First Class,KL-16555,FUR-FU-10004091,210,300
295,2019/12/26,2019/12/28,First Class,KL-16555,FUR-CH-10001891,207,230
296,2019/12/26,2019/12/28,First Class,KL-16555,FUR-FU-10002918,109,218
297,2019/12/26,2019/12/28,First Class,KL-16555,OFF-BI-10004593,55,79
298,2019/12/26,2019/12/28,First Class,KL-16555,OFF-FA-10004854,25,28
299,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-PA-10002105,23,32
300,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-ST-10002756,758,1082
301,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-PA-10004243,51,57
302,2021/10/28,2021/11/03,Standard Class,JD-15895,FUR-FU-10001861,47,78
303,2021/10/28,2021/11/03,Standard Class,JD-15895,OFF-BI-10002706,10,14
304,2022/11/19,2022/11/23,Standard Class,JH-15910,FUR-TA-10002533,131,219
305,2020/05/04,2020/05/09,Second Class,AS-10225,FUR-FU-10002671,13,27
306,2019/12/30,2020/01/04,Standard Class,KB-16600,OFF-AR-10003651,5,10
307,2019/06/01,2019/06/06,Standard Class,CR-12625,OFF-BI-10001072,41,45
308,2019/06/01,2019/06/06,Standard Class,CR-12625,OFF-AR-10002135,260,289
309,2022/04/15,2022/04/17,First Class,SH-20395,OFF-AR-10002804,4,5
310,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-FU-10001918,9,15
311,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-CH-10004086,327,467
312,2021/09/12,2021/09/14,Second Class,BP-11185,FUR-FU-10001756,14,15
313,2021/09/12,2021/09/14,Second Class,BP-11185,OFF-LA-10000634,3,6
314,2019/09/27,2019/10/03,Standard Class,TS-21205,FUR-FU-10001588,70,88
315,2019/08/09,2019/08/16,Standard Class,AG-10525,TEC-PH-10002398,161,178
316,2019/08/09,2019/08/16,Standard Class,AG-10525,OFF-PA-10001937,12,16
317,2019/12/28,2019/12/30,First Class,SP-20860,OFF-AR-10003373,79,99
318,2019/11/04,2019/11/09,Standard Class,NM-18445,FUR-CH-10002602,95,136
319,2019/11/04,2019/11/09,Standard Class,NM-18445,TEC-MA-10002927,2395,3992
320,2019/11/04,2019/11/09,Standard Class,NM-18445,TEC-PH-10004093,248,276
321,2019/11/04,2019/11/09,Standard Class,NM-18445,TEC-AC-10000892,288,360
322,2019/11/04,2019/11/09,Standard Class,NM-18445,OFF-ST-10002974,31,44
323,2019/09/19,2019/09/24,Standard Class,FA-14230,OFF-FA-10000624,6,7
324,2021/04/23,2021/04/27,Standard Class,GK-14620,OFF-BI-10004593,176,252
325,2021/04/23,2021/04/27,Standard Class,GK-14620,TEC-AC-10001908,60,100
326,2022/11/03,2022/11/05,Second Class,DJ-13510,FUR-FU-10001967,8,16
